"cell_id","pattern","N","n_ok","A_prop","A_prop_se","A_fiml","B","B_se","T_prop","T_prop_se","tr_obs","tr_exp","tr_samp","gap_riv","info_eq","L1_trace","L3_trace","A_minus_obs","B_plus_half_obs","T_minus_half_obs","A_minus_exp","B_plus_half_samp","T_minus_half_exp"
"non_monotone_MAR_N200","non_monotone",200,2000,8.1182291886611,0.260137511078248,8.68462508329193,-4.72287016495666,0.0789301094697845,3.39535902370444,0.228663033751287,8.59585728370894,7.72505137072871,8.81572712197906,8.5129889441888,13.8798836647979,15.248011457033,13.8233542380712,-0.477628095047832,-0.424941523102191,-0.902569618150023,0.393177817932396,-0.315006603967131,-0.467166661659909
"non_monotone_MAR_N500","non_monotone",500,2000,7.58971572817369,0.342578975020701,7.89269237191415,-4.18549002433737,0.0575195167967587,3.40422570383631,0.327683941714275,8.34571252799713,7.67334912132463,8.52424057612751,8.0578266958242,14.0426107087913,14.3501042788048,13.9546849780761,-0.755996799823444,-0.0126337603388063,-0.76863056016225,-0.0836333931509481,0.0766302637263854,-0.432448856826003
"non_monotone_MAR_N1000","non_monotone",1000,2000,7.9046140124413,0.484991971807601,8.15136066670313,-4.10927626987405,0.0576660188508945,3.79533774256725,0.472901395142575,8.26469519184456,7.65245739420447,8.43092055901871,8.04162045027211,14.1013004801302,14.3317734493823,14.2097079511687,-0.360081179403252,0.0230713260482256,-0.337009853355027,0.25215661823683,0.1061840096353,-0.030890954534986
"non_monotone_MAR_N2000","non_monotone",2000,2000,6.87060769240517,0.673313405709359,7.23129965460681,-4.17084366018124,0.0547782662029835,2.69976403222393,0.666499532851284,8.19911783798471,7.62087602076663,8.38302729186808,8.28244869781775,14.470506247893,14.2258882465838,14.1485116360439,-1.32851014557954,-0.0712847411888866,-1.39979488676843,-0.750268328361463,0.0206699857527983,-1.11067397815939
"monotone_MAR_N200","monotone",200,2000,5.46655563909102,0.1656468925274,5.72192173113964,-3.16946644755872,0.044191977761008,2.2970891915323,0.155076293119222,5.8355796052727,5.28650458052384,5.86065764355245,5.94237630312457,13.9147836602143,15.0765386349983,13.7872926270687,-0.36902396618168,-0.251676644922372,-0.620700611104053,0.180051058567176,-0.239137625782496,-0.346163098729625
"monotone_MAR_N500","monotone",500,2000,5.35767587951931,0.247759010929328,5.53424675100339,-2.94863784811127,0.035794823568998,2.40903803140804,0.241925885577277,5.73473476855082,5.26049022322884,5.79801164274841,5.7370537807487,14.0321989362992,14.3768902225009,13.9392405104084,-0.377058889031507,-0.081270463835859,-0.458329352867366,0.0971856562904732,-0.049632026737064,-0.221207080206376
"monotone_MAR_N1000","monotone",1000,2000,5.49334993880777,0.335001086348619,5.50843411589653,-2.92330305566942,0.0331125068585043,2.57004688313834,0.331135164680126,5.70937595666659,5.25001286705866,5.76428788062042,5.76323626179206,14.1176033383201,14.3054095644412,14.1231776567131,-0.216026017858829,-0.0686150773361276,-0.284641095194957,0.243337071749109,-0.041159115359215,-0.0549595503909877
"monotone_MAR_N2000","monotone",2000,2000,4.74719390564664,0.467356059760174,5.03438041967296,-2.90389768587424,0.0316142674731044,1.8432962197724,0.465554195472894,5.70053815712992,5.25135257046754,5.76870888100036,5.77566616183868,14.1270442984565,14.0944277208541,13.9954625512688,-0.953344251483288,-0.0536286073092764,-1.00697285879256,-0.504158664820903,-0.0195432453740594,-0.782380065461372
